Date,Open,High,Low,Close,Adj Close,Volume,Change
2021-03-17,236.149994,238.550003,233.229996,237.039993,235.610992,29562100,0.003769
2021-03-18,232.559998,234.190002,230.330002,230.720001,229.329086,34852251,-0.007912
2021-03-19,231.020004,232.473999,229.349594,230.350006,228.961319,46430730,-0.002900
2021-03-22,230.270004,236.899994,230.139999,235.990005,234.567322,30127005,0.024840
2021-03-23,237.485001,241.050003,237.070007,237.580002,236.147720,31638376,0.000400
2021-03-24,237.845001,238.000000,235.320007,235.460007,234.040512,25620127,-0.010028
2021-03-25,235.300003,236.940002,231.570007,232.339996,230.939316,34061853,-0.012580
2021-03-26,231.550003,236.710007,231.550003,236.479996,235.054352,25479853,0.021291
2021-03-29,236.589996,236.800003,231.880005,235.240005,233.821823,25227455,-0.005706
2021-03-30,233.524994,233.850006,231.100006,231.850006,230.452271,24792012,-0.007173
2021-03-31,232.910004,239.100006,232.389999,235.770004,234.348633,43623471,0.012279
2021-04-01,238.470001,242.839996,238.050095,242.350006,240.888977,30337982,0.016270
2021-04-05,242.759995,249.960007,242.699997,249.070007,247.568466,36910609,0.025993
2021-04-06,247.610001,249.399994,246.880005,247.860001,246.365753,22931923,0.001010
2021-04-07,247.809998,250.929993,247.190002,249.899994,248.393448,22719835,0.008434
2021-04-08,252.770004,254.139008,252.000000,253.250000,251.723251,23625197,0.001899
2021-04-09,252.869995,255.990005,252.440002,255.850006,254.307602,24326833,0.011785
2021-04-12,254.710007,257.670013,254.619995,255.910004,254.367233,27148668,0.004711
2021-04-13,257.257294,259.190002,256.829987,258.489990,256.931671,23837469,0.004792
2021-04-14,257.475006,258.829987,255.160004,255.589996,254.049149,23070938,-0.007321
2021-04-15,257.931000,259.929993,257.730011,259.500000,257.935577,25627481,0.006083
2021-04-16,259.470001,261.000000,257.601410,260.739990,259.168091,24878582,0.004895
2021-04-19,260.190002,261.480011,257.821014,258.739990,257.180145,23209260,-0.005573
2021-04-20,257.820007,260.200012,256.839996,258.260010,256.703064,19722875,0.001707
2021-04-21,258.940002,260.679993,257.250000,260.579987,259.009064,24030383,0.006333
2021-04-22,260.209991,261.779999,255.639999,257.170013,255.619629,25606152,-0.011683
2021-04-23,257.880005,261.510010,257.269989,261.149994,259.575653,21499286,0.012680
2021-04-26,261.660004,262.434998,260.170013,261.549988,259.973236,19763346,-0.000420
